Scenario_ID,Scenario_Type,Date,Event_date,Date_type,Event_Type,Process_Area,Loss_Amount_(kUSD),Frequency_(Nk),Severity_(Xi),OpVar_(%),ML,GDP_(%),VIX,Target,Loss_Outlier_Flag,Data_Quality_Flag
OLE-0367,OLE,05-10-2022,05-10-2022,Actual,Data Breach,Payments,25.59,3,0.67,0.84,1,2.6,24,0,Normal,Good
ALE-1137,ALE,Synth-2022,Null,Synthetic,System Failure,ATM Network,185.01,5,1.77,2.42,2.17,3.2,16,2,Normal,Good
OLE-0033,OLE,18-04-2022,18-04-2022,Actual,System Failure,E-Banking,29.8,4,0.48,0.92,1,2.7,14,2,Normal,Good
ALE-0190,ALE,Synth-2022,Null,Synthetic,Phishing,E-Banking,160.82,3,1.52,2.55,1.83,3.2,24,1,Normal,Good
ALE-1008,ALE,Synth-2022,Null,Synthetic,Data Breach,ATM Network,194.22,2,1.58,1.79,1.81,3.1,27,0,Normal,Good
ALE-1259,ALE,Synth-2022,Null,Synthetic,System Failure,Payments,239.81,2,1.66,1.45,1.02,2.6,28,0,Normal,Good
ALE-1108,ALE,Synth-2022,Null,Synthetic,Data Breach,Payments,185.03,4,3,1.31,1.18,3.2,27,1,Normal,Good
ALE-0136,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,159.69,3,2.88,2.31,1.93,3.7,25,2,Normal,Good
ALE-1022,ALE,Synth-2022,Null,Synthetic,Tech Failure,Online Services,149.66,2,1.76,2.98,2.29,2.7,18,1,Normal,Good
OLE-0545,OLE,04-02-2023,04-02-2023,Actual,Tech Failure,Payments,88.88,2,0.68,0.56,1,3.4,24,0,Normal,Good
OLE-0164,OLE,31-07-2023,31-07-2023,Actual,System Failure,ATM Network,52.93,2,0.68,0.65,1,3.2,23,0,Normal,Good
OLE-0204,OLE,23-04-2023,23-04-2023,Actual,Cyber-Fraud,Retail Banking,8.94,3,1.1,1.32,1,3.7,18,2,Normal,Good
ALE-0600,ALE,Synth-2022,Null,Synthetic,Tech Failure,Retail Banking,130.7,4,2.77,2.75,2.92,3.9,28,2,Normal,Good
ALE-0059,ALE,Synth-2022,Null,Synthetic,System Failure,Payments,152.21,1,1.93,1.82,1.63,3.2,25,2,Normal,Good
ALE-0590,ALE,Synth-2022,Null,Synthetic,Phishing,Online Services,155.27,4,1.38,3.12,3.03,3.2,29,1,Normal,Good
ALE-0787,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,178.59,2,2.04,2.86,2.61,2.6,29,0,Normal,Good
OLE-0306,OLE,05-11-2023,05-11-2023,Actual,Data Breach,E-Banking,104.59,3,1.11,1.12,1,3.6,20,0,Normal,Good
ALE-0122,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,217.2,4,2.13,3.35,3.55,2.7,20,2,Normal,Good
OLE-0565,OLE,14-06-2022,14-06-2022,Actual,Tech Failure,Retail Banking,115.52,5,0.64,1.02,1,3.6,22,2,Normal,Good
ALE-1271,ALE,Synth-2022,Null,Synthetic,Phishing,E-Banking,66.91,4,1.91,2.41,1.69,3.1,27,1,Normal,Good
OLE-0193,OLE,12-04-2022,12-04-2022,Actual,Tech Failure,E-Banking,71.2,1,0.38,1.34,1,2.5,18,0,Normal,Good
ALE-0741,ALE,Synth-2022,Null,Synthetic,System Failure,Online Services,100.62,3,2.75,2.13,1.72,3.8,24,2,Normal,Good
OLE-0753,OLE,17-08-2023,17-08-2023,Actual,Data Breach,E-Banking,71.74,1,1.21,1.11,1,2.8,23,0,Normal,Good
ALE-0143,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,76.26,5,2.09,2.03,1.79,3,24,1,Normal,Good
OLE-0742,OLE,12-10-2023,12-10-2023,Actual,Tech Failure,Retail Banking,26.42,5,1.37,0.56,1,3.2,22,2,Normal,Good
ALE-0729,ALE,Synth-2022,Null,Synthetic,System Failure,Online Services,210.59,3,1.49,3.02,3.39,3.6,22,0,Normal,Good
OLE-0572,OLE,26-09-2023,26-09-2023,Actual,System Failure,ATM Network,5,2,0.63,1.06,1,3,20,2,Normal,Good
ALE-0700,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,19.54,2,0.88,3.45,4.3,3.8,21,1,Normal,Good
OLE-0219,OLE,02-06-2022,02-06-2022,Actual,Data Breach,Retail Banking,115.63,5,0.85,1.06,1,3.8,21,0,Normal,Good
OLE-0611,OLE,08-03-2023,08-03-2023,Actual,Cyber-Fraud,ATM Network,40.82,5,1.43,0.56,1,3.9,17,1,Normal,Good
ALE-1254,ALE,Synth-2022,Null,Synthetic,Phishing,ATM Network,196.14,4,2.86,1.22,1.02,3.6,19,2,Normal,Good
OLE-0352,OLE,12-03-2023,12-03-2023,Actual,Data Breach,ATM Network,98.85,4,0.6,0.76,1,2.5,23,1,Normal,Good
ALE-1013,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,123.37,4,0.89,2.93,2.67,4,24,2,Normal,Good
ALE-0211,ALE,Synth-2022,Null,Synthetic,System Failure,Payments,126.42,3,2.27,1.37,1.04,2.6,26,0,Normal,Good
ALE-1075,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Online Services,27.24,2,2.58,3.42,2.75,3.7,22,0,Normal,Good
ALE-0430,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,17.77,1,2.49,3.19,2.74,4,15,2,Normal,Good
ALE-0954,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,65.06,4,1.34,3.44,3.19,3.4,22,1,Normal,Good
ALE-0463,ALE,Synth-2022,Null,Synthetic,System Failure,Payments,182.17,3,2.95,1.4,0.97,3.2,18,0,Normal,Good
OLE-0060,OLE,21-08-2022,21-08-2022,Actual,System Failure,Payments,46.95,2,0.53,1.12,1,3,23,1,Normal,Good
OLE-0412,OLE,29-03-2022,29-03-2022,Actual,Cyber-Fraud,Payments,44.91,5,0.71,1.3,1,2.9,19,0,Normal,Good
OLE-0782,OLE,03-01-2022,03-01-2022,Actual,System Failure,E-Banking,75.28,5,1.44,1.27,1,2.9,23,1,Normal,Good
OLE-0496,OLE,04-05-2022,04-05-2022,Actual,System Failure,Payments,85.48,5,0.98,1.16,1,3.5,17,1,Normal,Good
OLE-0830,OLE,25-02-2022,25-02-2022,Actual,System Failure,Payments,91.14,1,0.51,1.39,1,3.2,14,1,Normal,Good
OLE-0074,OLE,08-02-2023,08-02-2023,Actual,Cyber-Fraud,Payments,67.23,5,1,1.25,1,3.7,15,2,Normal,Good
ALE-0460,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,38.66,1,0.84,2.81,2.88,2.6,24,1,Normal,Good
OLE-0635,OLE,13-06-2022,13-06-2022,Actual,Data Breach,Retail Banking,51.33,5,1.33,1.34,1,3,14,0,Normal,Good
ALE-0947,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,147.24,5,2.36,2.09,1.78,3.8,17,0,Normal,Good
ALE-0544,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,288.85,3,2.13,3.38,3.26,2.7,15,1,Normal,Good
OLE-0163,OLE,26-11-2023,26-11-2023,Actual,Tech Failure,Payments,16.56,2,0.35,0.53,1,3.1,23,2,Normal,Good
ALE-0526,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,65.83,1,1.19,2.66,2.52,3.8,26,2,Normal,Good
OLE-0597,OLE,26-04-2023,26-04-2023,Actual,Data Breach,ATM Network,36.36,3,0.37,1.08,1,3.8,20,1,Normal,Good
OLE-0448,OLE,23-08-2023,23-08-2023,Actual,Cyber-Fraud,ATM Network,86.9,1,0.6,0.62,1,3.4,22,1,Normal,Good
ALE-0557,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,E-Banking,271.28,2,2.68,1.92,1.65,3.2,29,2,Normal,Good
OLE-0354,OLE,01-03-2022,01-03-2022,Actual,Data Breach,Retail Banking,34.02,2,1.44,1.44,1,3.4,24,1,Normal,Good
ALE-0402,ALE,Synth-2022,Null,Synthetic,Data Breach,ATM Network,165.59,5,2.76,1.76,1.34,3.7,17,2,Normal,Good
ALE-0084,ALE,Synth-2022,Null,Synthetic,Tech Failure,ATM Network,149.44,3,1.51,2.86,2.27,3.9,16,1,Normal,Good
ALE-1242,ALE,Synth-2022,Null,Synthetic,Tech Failure,Online Services,41.27,2,2.85,2.94,2.17,2.7,20,2,Normal,Good
ALE-0629,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,162.18,2,1.2,2.6,1.99,3,26,0,Normal,Good
ALE-0998,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,175.68,2,1.06,2.05,2.26,2.9,22,2,Normal,Good
ALE-0899,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,175.21,5,1.28,3.12,2.43,3.8,19,1,Normal,Good
OLE-0046,OLE,14-06-2023,14-06-2023,Actual,Cyber-Fraud,ATM Network,14.77,4,0.64,1.44,1,3.8,19,2,Normal,Good
ALE-0764,ALE,Synth-2022,Null,Synthetic,System Failure,Online Services,174.31,3,2.48,3.48,2.59,2.9,20,1,Normal,Good
OLE-0810,OLE,20-07-2023,20-07-2023,Actual,Tech Failure,Payments,5,4,0.94,1.44,1,3,20,2,Normal,Good
ALE-0365,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,236.56,2,2.66,2.33,2.29,3.8,21,1,Normal,Good
OLE-0295,OLE,11-06-2022,11-06-2022,Actual,Data Breach,Payments,75.75,2,0.91,0.92,1,2.5,14,2,Normal,Good
ALE-0798,ALE,Synth-2022,Null,Synthetic,Tech Failure,E-Banking,154.86,3,1.87,1.8,1.36,3.6,16,2,Normal,Good
ALE-0196,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,198.92,5,0.94,3.1,3.49,3.9,18,2,Normal,Good
OLE-0077,OLE,24-03-2022,24-03-2022,Actual,System Failure,E-Banking,75.81,1,0.61,1.04,1,3.5,18,1,Normal,Good
OLE-0206,OLE,15-09-2022,15-09-2022,Actual,Tech Failure,Retail Banking,15.99,4,1.01,0.51,1,3.2,17,1,Normal,Good
ALE-0751,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Online Services,174.74,1,1.42,3.13,3.75,3.1,19,0,Normal,Good
ALE-1131,ALE,Synth-2022,Null,Synthetic,System Failure,Payments,67.22,2,1.87,2.28,2.32,3.9,20,0,Normal,Good
ALE-0274,ALE,Synth-2022,Null,Synthetic,Phishing,E-Banking,213.62,2,1.18,3.15,3.12,3.4,29,0,Normal,Good
OLE-0415,OLE,20-08-2022,20-08-2022,Actual,Data Breach,ATM Network,26.59,2,0.34,1.49,1,2.5,22,1,Normal,Good
ALE-0866,ALE,Synth-2022,Null,Synthetic,Tech Failure,Online Services,144.11,3,1.47,2.04,1.89,3.7,15,0,Normal,Good
ALE-0228,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,E-Banking,32.96,2,2.3,1.35,1.11,3.7,27,0,Normal,Good
OLE-0437,OLE,25-09-2022,25-09-2022,Actual,Cyber-Fraud,Payments,42.17,1,0.78,1.17,1,3.5,16,0,Normal,Good
ALE-0765,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,115.85,4,2.46,2.24,2.36,2.8,29,1,Normal,Good
ALE-0909,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,133.54,1,1.78,2.84,2.67,3.9,16,0,Normal,Good
OLE-0394,OLE,26-01-2023,26-01-2023,Actual,Cyber-Fraud,E-Banking,31.06,2,0.68,0.79,1,2.6,19,1,Normal,Good
OLE-0722,OLE,25-02-2022,25-02-2022,Actual,Tech Failure,E-Banking,46.33,5,0.58,1.21,1,3.8,14,1,Normal,Good
OLE-0031,OLE,17-10-2023,17-10-2023,Actual,Data Breach,ATM Network,89.76,2,0.51,0.86,1,3.9,21,0,Normal,Good
ALE-0426,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,61.96,3,2.35,2.58,2.26,2.5,29,2,Normal,Good
OLE-0857,OLE,29-06-2023,29-06-2023,Actual,Cyber-Fraud,ATM Network,29.68,4,1.26,1.35,1,3.2,18,0,Normal,Good
ALE-0237,ALE,Synth-2022,Null,Synthetic,Phishing,Retail Banking,240.14,4,2.64,3.04,2.92,2.9,22,2,Normal,Good
ALE-0919,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,238.11,3,2.59,3.39,3.53,2.9,20,2,Normal,Good
ALE-0794,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,97.1,1,0.91,1.97,1.48,2.9,28,0,Normal,Good
OLE-0556,OLE,14-02-2023,14-02-2023,Actual,Cyber-Fraud,Payments,68.65,5,0.86,1.12,1,3.2,20,0,Normal,Good
OLE-0345,OLE,21-11-2022,21-11-2022,Actual,Data Breach,Payments,101.08,4,0.88,1.34,1,3,16,1,Normal,Good
ALE-0760,ALE,Synth-2022,Null,Synthetic,Tech Failure,Online Services,244.28,2,0.83,1.93,1.82,3.1,22,1,Normal,Good
OLE-0353,OLE,09-05-2023,09-05-2023,Actual,Tech Failure,Payments,45.58,1,0.48,0.96,1,3,14,1,Normal,Good
OLE-0092,OLE,09-08-2022,09-08-2022,Actual,System Failure,E-Banking,61.58,5,0.48,0.83,1,3.2,15,2,Normal,Good
ALE-1100,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,229.05,4,2.88,3.32,2.6,3.2,26,0,Normal,Good
ALE-0752,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,122.06,1,2.45,1.35,1.04,3.3,29,2,Normal,Good
ALE-0248,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,E-Banking,86.18,1,2.84,3.11,3.03,2.9,20,0,Normal,Good
OLE-0568,OLE,19-06-2023,19-06-2023,Actual,Tech Failure,E-Banking,55.8,4,0.37,0.67,1,3.6,18,1,Normal,Good
OLE-0262,OLE,17-04-2023,17-04-2023,Actual,Cyber-Fraud,Retail Banking,123.62,3,1.01,0.67,1,3.9,17,2,Normal,Good
ALE-0347,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,115.65,1,2.26,3.5,3.56,3.4,18,1,Normal,Good
ALE-0868,ALE,Synth-2022,Null,Synthetic,Data Breach,ATM Network,99.84,3,2.18,3.13,3.46,3.8,24,2,Normal,Good
OLE-0539,OLE,14-08-2023,14-08-2023,Actual,Data Breach,Payments,77.05,3,1.44,0.64,1,3.6,14,2,Normal,Good
ALE-1048,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,264.05,1,1.95,1.28,1.13,3.8,21,2,Normal,Good
ALE-0008,ALE,Synth-2022,Null,Synthetic,System Failure,Retail Banking,227.32,1,2,2.2,1.66,3.7,20,0,Normal,Good
ALE-0812,ALE,Synth-2022,Null,Synthetic,Data Breach,Online Services,109.03,4,1.76,2.49,2.96,3.5,19,1,Normal,Good
ALE-0905,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,83.77,1,1.26,2.22,2.65,3,28,2,Normal,Good
ALE-0504,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,202.87,3,1.45,2.01,1.4,3.9,22,1,Normal,Good
OLE-0301,OLE,23-07-2023,23-07-2023,Actual,Data Breach,Retail Banking,48.9,5,1.26,0.93,1,4,24,1,Normal,Good
OLE-0553,OLE,30-06-2023,30-06-2023,Actual,Cyber-Fraud,Payments,53.18,4,1.21,1.31,1,3,24,0,Normal,Good
ALE-0633,ALE,Synth-2022,Null,Synthetic,Data Breach,Online Services,202.29,4,1.93,3.22,3.07,2.7,20,0,Normal,Good
OLE-0316,OLE,16-09-2023,16-09-2023,Actual,System Failure,Retail Banking,43.88,3,0.92,1.24,1,3.2,19,1,Normal,Good
ALE-0692,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,109.37,5,2.54,2.16,2.5,3.2,20,2,Normal,Good
OLE-0454,OLE,16-09-2022,16-09-2022,Actual,Tech Failure,ATM Network,34.89,2,1.35,1.08,1,3,16,1,Normal,Good
OLE-0176,OLE,18-12-2022,18-12-2022,Actual,Cyber-Fraud,Payments,87.86,3,0.99,1.37,1,4,15,2,Normal,Good
OLE-0766,OLE,16-06-2023,16-06-2023,Actual,Data Breach,E-Banking,68.42,2,1.1,0.82,1,3.5,23,0,Normal,Good
ALE-0354,ALE,Synth-2022,Null,Synthetic,Tech Failure,Retail Banking,24.41,4,2.15,3.05,2.13,3.4,15,1,Normal,Good
ALE-0965,ALE,Synth-2022,Null,Synthetic,System Failure,Retail Banking,284.78,5,1.93,2.07,1.43,2.6,22,1,Normal,Good
OLE-0124,OLE,24-06-2022,24-06-2022,Actual,Cyber-Fraud,ATM Network,82.5,1,0.59,0.64,1,3,15,1,Normal,Good
OLE-0582,OLE,06-04-2022,06-04-2022,Actual,Data Breach,ATM Network,29.33,3,1.32,1.06,1,3.3,15,2,Normal,Good
OLE-0395,OLE,11-08-2023,11-08-2023,Actual,Tech Failure,Retail Banking,15.01,5,1.09,0.51,1,3.9,17,0,Normal,Good
ALE-0031,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,195.92,1,2.97,2.89,2.15,3.5,19,2,Normal,Good
ALE-0091,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,201.44,1,2.44,1.22,1.33,3.4,27,2,Normal,Good
OLE-0040,OLE,27-10-2023,27-10-2023,Actual,Tech Failure,Payments,56.16,2,1.49,1.16,1,3.3,15,2,Normal,Good
OLE-0463,OLE,29-09-2023,29-09-2023,Actual,System Failure,E-Banking,62.78,2,0.62,1,1,2.6,15,2,Normal,Good
OLE-0589,OLE,29-06-2023,29-06-2023,Actual,Cyber-Fraud,Retail Banking,89.34,1,0.4,1.04,1,3.9,19,2,Normal,Good
OLE-0637,OLE,11-03-2022,11-03-2022,Actual,Tech Failure,Payments,45.05,3,1.27,0.79,1,3.2,21,0,Normal,Good
OLE-0332,OLE,01-12-2023,01-12-2023,Actual,Cyber-Fraud,ATM Network,43.87,2,0.4,1.11,1,3.8,24,2,Normal,Good
OLE-0195,OLE,14-05-2022,14-05-2022,Actual,System Failure,Payments,56.23,2,1.37,0.93,1,3.9,21,2,Normal,Good
ALE-1180,ALE,Synth-2022,Null,Synthetic,Tech Failure,E-Banking,150.3,4,1.45,3.1,2.49,3.8,16,0,Normal,Good
OLE-0323,OLE,24-10-2022,24-10-2022,Actual,Tech Failure,Payments,57.01,3,1.34,0.88,1,3.1,18,2,Normal,Good
OLE-0267,OLE,08-05-2022,08-05-2022,Actual,Tech Failure,Payments,34.9,1,0.32,1.08,1,2.9,17,2,Normal,Good
ALE-0803,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,109.55,4,2.05,2.89,1.97,2.6,25,2,Normal,Good
ALE-0264,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Online Services,36.85,1,2.36,2.55,2.43,3.4,17,2,Normal,Good
OLE-0687,OLE,16-11-2022,16-11-2022,Actual,Data Breach,Retail Banking,34.8,2,0.63,1.32,1,3.1,22,1,Normal,Good
ALE-0688,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,177.5,4,2.41,1.72,1.97,3.1,27,0,Normal,Good
ALE-0748,ALE,Synth-2022,Null,Synthetic,System Failure,Payments,188.76,1,2.7,1.35,1.08,2.7,19,0,Normal,Good
ALE-0180,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,117.29,2,1.04,2.13,1.59,3.2,15,2,Normal,Good
OLE-0696,OLE,15-02-2023,15-02-2023,Actual,Data Breach,E-Banking,34.63,2,1.2,1.25,1,2.7,18,2,Normal,Good
ALE-1160,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,187.56,1,1.87,2.74,2.59,2.8,17,1,Normal,Good
ALE-0325,ALE,Synth-2022,Null,Synthetic,System Failure,ATM Network,49.88,4,0.98,2.16,1.48,3.6,23,1,Normal,Good
ALE-1214,ALE,Synth-2022,Null,Synthetic,Phishing,ATM Network,165.49,3,1.82,3.36,3.49,2.6,26,1,Normal,Good
ALE-0694,ALE,Synth-2022,Null,Synthetic,Tech Failure,E-Banking,119.65,2,2.3,1.25,1.42,3.8,17,1,Normal,Good
ALE-0878,ALE,Synth-2022,Null,Synthetic,Phishing,Online Services,49.4,3,1.99,2.79,2.55,3.8,25,0,Normal,Good
ALE-0932,ALE,Synth-2022,Null,Synthetic,Tech Failure,E-Banking,29.76,1,1.2,1.24,1.31,3.3,26,1,Normal,Good
OLE-0811,OLE,10-04-2022,10-04-2022,Actual,Cyber-Fraud,Payments,26.77,1,0.42,1.23,1,2.8,23,2,Normal,Good
OLE-0681,OLE,01-11-2022,01-11-2022,Actual,Cyber-Fraud,ATM Network,53.97,1,1.05,0.97,1,3.8,22,0,Normal,Good
ALE-1143,ALE,Synth-2022,Null,Synthetic,System Failure,ATM Network,10,5,1.87,2.12,1.56,3.6,17,0,Normal,Good
ALE-0736,ALE,Synth-2022,Null,Synthetic,Data Breach,ATM Network,179.39,1,2.23,1.69,1.59,2.5,15,1,Normal,Good
ALE-1287,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,143.85,5,2.92,3.17,3.76,3.5,19,1,Normal,Good
ALE-0715,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,87.69,2,2.95,3.03,3,3.8,18,1,Normal,Good
ALE-0754,ALE,Synth-2022,Null,Synthetic,Phishing,Retail Banking,166.56,2,2.91,1.48,1.12,2.7,27,2,Normal,Good
ALE-0547,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Online Services,135.36,4,1.93,2.8,3.34,2.9,16,0,Normal,Good
ALE-0375,ALE,Synth-2022,Null,Synthetic,Tech Failure,Online Services,82.68,3,2.82,2.59,1.9,3.7,22,0,Normal,Good
ALE-0837,ALE,Synth-2022,Null,Synthetic,Phishing,E-Banking,189.6,2,1.18,1.35,1.22,3.8,29,1,Normal,Good
OLE-0366,OLE,10-06-2023,10-06-2023,Actual,System Failure,E-Banking,84.41,1,0.64,1.46,1,2.5,14,0,Normal,Good
ALE-1103,ALE,Synth-2022,Null,Synthetic,Data Breach,Retail Banking,75.36,2,2,2.9,2.37,3.1,29,0,Normal,Good
ALE-0703,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,ATM Network,190.26,3,2.8,3.31,3.21,3.6,29,0,Normal,Good
OLE-0747,OLE,16-12-2023,16-12-2023,Actual,Tech Failure,ATM Network,51.61,2,0.41,1.45,1,2.9,15,1,Normal,Good
ALE-0130,ALE,Synth-2022,Null,Synthetic,System Failure,Payments,242.89,3,2.71,1.28,0.89,2.7,24,0,Normal,Good
OLE-0584,OLE,18-09-2023,18-09-2023,Actual,Data Breach,ATM Network,100.13,4,0.45,1.08,1,3.6,18,0,Normal,Good
ALE-1130,ALE,Synth-2022,Null,Synthetic,Tech Failure,E-Banking,147.3,5,1.21,2.49,1.77,3.8,16,2,Normal,Good
ALE-1117,ALE,Synth-2022,Null,Synthetic,Phishing,Retail Banking,139.09,1,2.36,3.11,2.5,3.9,28,2,Normal,Good
ALE-0263,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,158.83,2,1.07,1.67,1.54,3.8,28,0,Normal,Good
ALE-0592,ALE,Synth-2022,Null,Synthetic,Phishing,ATM Network,48.78,4,1.64,1.53,1.18,3.5,19,2,Normal,Good
ALE-0685,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,ATM Network,72.47,1,1.04,1.76,1.75,3.3,16,2,Normal,Good
ALE-0597,ALE,Synth-2022,Null,Synthetic,System Failure,Retail Banking,64.73,3,2.92,2,1.92,3.4,25,2,Normal,Good
ALE-0735,ALE,Synth-2022,Null,Synthetic,System Failure,E-Banking,88.09,5,1.05,1.28,1.47,2.8,22,2,Normal,Good
ALE-0679,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,174.87,2,1.37,1.42,1.15,3.2,29,2,Normal,Good
OLE-0319,OLE,01-10-2022,01-10-2022,Actual,Tech Failure,Payments,47.08,1,1.45,1.39,1,3.8,19,2,Normal,Good
OLE-0772,OLE,21-02-2022,21-02-2022,Actual,System Failure,E-Banking,94.73,4,1.32,1.41,1,3.3,15,2,Normal,Good
ALE-0267,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Payments,157.26,2,2.03,1.22,1.42,2.7,19,2,Normal,Good
OLE-0720,OLE,24-01-2022,24-01-2022,Actual,Tech Failure,Payments,55.2,4,0.8,1.35,1,3.8,21,2,Normal,Good
ALE-1083,ALE,Synth-2022,Null,Synthetic,Tech Failure,ATM Network,146.29,5,2.95,2.37,2,3.6,16,1,Normal,Good
ALE-0281,ALE,Synth-2022,Null,Synthetic,Tech Failure,ATM Network,207.48,5,2.85,1.77,1.47,2.9,27,2,Normal,Good
OLE-0344,OLE,13-06-2022,13-06-2022,Actual,System Failure,ATM Network,99.23,5,1.49,1.39,1,3.1,24,0,Normal,Good
OLE-0399,OLE,13-04-2023,13-04-2023,Actual,Data Breach,ATM Network,17.84,3,0.85,1.28,1,4,20,1,Normal,Good
OLE-0585,OLE,11-05-2023,11-05-2023,Actual,Cyber-Fraud,Payments,72.5,5,0.63,0.82,1,3.8,21,2,Normal,Good
ALE-0772,ALE,Synth-2022,Null,Synthetic,Tech Failure,ATM Network,158.74,3,1.75,2.28,1.53,3.1,18,0,Normal,Good
OLE-0293,OLE,23-02-2023,23-02-2023,Actual,Cyber-Fraud,Retail Banking,27.28,2,0.79,1.37,1,3.4,14,0,Normal,Good
OLE-0793,OLE,24-01-2022,24-01-2022,Actual,Tech Failure,ATM Network,18.1,4,0.75,0.53,1,2.8,14,0,Normal,Good
ALE-0200,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,E-Banking,178.81,3,1.42,2.42,2.89,2.7,22,0,Normal,Good
ALE-0257,ALE,Synth-2022,Null,Synthetic,Tech Failure,Online Services,103.82,4,1.16,3.05,2.25,2.7,28,0,Normal,Good
OLE-0142,OLE,16-11-2022,16-11-2022,Actual,Data Breach,Payments,46.7,4,1.25,1.14,1,3.5,17,1,Normal,Good
ALE-0069,ALE,Synth-2022,Null,Synthetic,Phishing,Retail Banking,145.55,2,2.7,1.89,2.02,2.7,22,2,Normal,Good
OLE-0003,OLE,23-04-2022,23-04-2022,Actual,Tech Failure,Retail Banking,81.41,5,0.69,1.27,1,2.7,20,2,Normal,Good
OLE-0577,OLE,09-05-2022,09-05-2022,Actual,System Failure,Payments,85.33,2,0.42,0.89,1,3.4,16,1,Normal,Good
ALE-0456,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,161.3,5,1.37,1.24,1.05,3.6,25,1,Normal,Good
OLE-0340,OLE,20-10-2022,20-10-2022,Actual,System Failure,ATM Network,11,2,1.3,1.21,1,3.4,18,1,Normal,Good
OLE-0807,OLE,20-01-2023,20-01-2023,Actual,Data Breach,Payments,50.16,1,0.86,0.55,1,2.8,24,0,Normal,Good
OLE-0266,OLE,18-06-2022,18-06-2022,Actual,System Failure,Payments,55.08,3,1.18,1.38,1,2.8,19,1,Normal,Good
OLE-0377,OLE,18-01-2023,18-01-2023,Actual,System Failure,Retail Banking,69.94,3,1.26,0.6,1,3.4,20,0,Normal,Good
ALE-0022,ALE,Synth-2022,Null,Synthetic,Tech Failure,ATM Network,75.13,4,2.94,1.71,1.25,2.6,29,0,Normal,Good
OLE-0440,OLE,02-01-2023,02-01-2023,Actual,Data Breach,E-Banking,31.26,4,0.83,1.12,1,3.8,16,1,Normal,Good
OLE-0272,OLE,02-09-2023,02-09-2023,Actual,System Failure,ATM Network,70.69,1,0.56,0.77,1,2.9,21,2,Normal,Good
OLE-0245,OLE,26-03-2023,26-03-2023,Actual,Data Breach,Retail Banking,69.51,4,1.06,0.63,1,3.3,14,0,Normal,Good
